:nemesis	:info	:start-partition	:minority-third
1	:invoke	:broadcast	0
:nemesis	:info	:start-partition	[:isolated {"n1" #{"n2" "n4" "n0" "n3"}, "n2" #{"n1"}, "n4" #{"n1"}, "n0" #{"n1"}, "n3" #{"n1"}}]
1	:ok	:broadcast	0
2	:invoke	:broadcast	1
2	:ok	:broadcast	1
3	:invoke	:read	nil
3	:ok	:read	[0 1]
4	:invoke	:read	nil
4	:ok	:read	[0 1]
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
0	:invoke	:broadcast	2
0	:ok	:broadcast	2
1	:invoke	:broadcast	3
1	:ok	:broadcast	3
2	:invoke	:broadcast	4
2	:ok	:broadcast	4
3	:invoke	:broadcast	5
3	:ok	:broadcast	5
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 3 4 5 1 2]
0	:invoke	:broadcast	6
0	:ok	:broadcast	6
0	:invoke	:read	nil
1	:invoke	:broadcast	7
0	:ok	:read	[0 0 0 0 0 0 1 2 3 4 5 6]
1	:ok	:broadcast	7
2	:invoke	:read	nil
2	:ok	:read	[0 0 0 0 0 0 0 6 7 1 2 3 4 5]
3	:invoke	:broadcast	8
3	:ok	:broadcast	8
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 0 0 0 1 2 3 4 5 6 7 8]
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 2 3 4 5 6 7 8 1]
0	:invoke	:broadcast	9
0	:ok	:broadcast	9
1	:invoke	:read	nil
1	:ok	:read	[0 0 0 0 0 0 0 0 0 4 6 0 2 7 8 9 3 5]
2	:invoke	:read	nil
2	:ok	:read	[0 0 0 0 0 0 0 0 0 4 5 6 7 9 1 3 2 8]
3	:invoke	:broadcast	10
3	:ok	:broadcast	10
4	:invoke	:broadcast	11
4	:ok	:broadcast	11
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 9 1 2 3 4 5 6 8 11 7 10]
0	:invoke	:broadcast	12
0	:ok	:broadcast	12
1	:invoke	:broadcast	13
1	:ok	:broadcast	13
2	:invoke	:read	nil
2	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 10 11 6 7 9 12 1 3 4 5 13]
3	:invoke	:broadcast	14
3	:ok	:broadcast	14
4	:invoke	:broadcast	15
4	:ok	:broadcast	15
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 4 5 6 11 12 1 8 9 7 10 13 14 15]
0	:invoke	:broadcast	16
0	:ok	:broadcast	16
1	:invoke	:read	nil
1	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 8 10 14 0 4 6 12 13 7 9 11 15 16]
2	:invoke	:read	nil
2	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 5 6 7 9 12 13 11 14 3 15 16 2 8 10]
3	:invoke	:broadcast	17
3	:ok	:broadcast	17
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 8 10 14 6 11 13 15 16 3 4 5 9 12 1 2 17]
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 1 8 9 14 15 7 10 13 5 6 11 2 3 4 12 16]
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 16 1 8 9 17 15 7 10 13 14 6 11 2 3 4 5]
1	:invoke	:broadcast	18
1	:ok	:broadcast	18
2	:invoke	:broadcast	19
2	:ok	:broadcast	19
3	:invoke	:broadcast	20
3	:ok	:broadcast	20
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 17 18 20 7 8 10 14 19 6 11 13 15 16 3 4 5 9 12]
0	:invoke	:broadcast	21
0	:ok	:broadcast	21
0	:invoke	:broadcast	22
0	:ok	:broadcast	22
1	:invoke	:read	nil
1	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 12 13 14 18 20 0 22 9 11 15 16 17 19 7 2 5 8 10 21 3]
2	:invoke	:broadcast	23
2	:ok	:broadcast	23
3	:invoke	:broadcast	24
3	:ok	:broadcast	24
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 11 13 15 3 4 5 9 12 16 23 24 1 2 17 18 20 21 22 7 8 10 14 19]
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 8 9 17 7 10 13 14 15 21 24 22 2 3 4 5 6 11 20 12 16 18 19 23]
0	:invoke	:broadcast	25
0	:ok	:broadcast	25
1	:invoke	:broadcast	26
1	:ok	:broadcast	26
2	:invoke	:read	nil
2	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 7 9 12 13 1 4 5 17 19 22 23 25 26 11 14 18 20 21 3 15 16 24 2 8 10]
3	:invoke	:broadcast	27
3	:ok	:broadcast	27
4	:invoke	:read	nil
4	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 4 9 16 23 27 2 17 18 21 22 26 6 11 15 5 12 1 20 24 7 8 10 14 19 25 13]
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 18 23 26 17 24 7 15 11 2 25 16 19 1 8 9 27 21 10 13 14 20 22 3 4 5 6]
0	:invoke	:broadcast	28
0	:ok	:broadcast	28
1	:invoke	:read	nil
1	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 9 16 17 23 25 3 8 21 12 13 18 22 26 11 15 19 2 27 28 5 10 24 0 4 6 14 20]
2	:invoke	:broadcast	29
2	:ok	:broadcast	29
3	:invoke	:broadcast	30
3	:ok	:broadcast	30
4	:invoke	:broadcast	31
4	:ok	:broadcast	31
0	:invoke	:broadcast	32
0	:ok	:broadcast	32
0	:invoke	:read	nil
0	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 19 9 27 32 1 8 14 21 28 10 13 5 6 20 22 3 4 23 26 29 30 31 12 18 17 24 7 15 25 2 11]
1	:invoke	:read	nil
1	:ok	:read	[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 20 30 32 0 4 6 17 23 31 7 9 16 25 3 8 21 22 26 12 13 18 11 15 19 2 27 28 29 5 10 24]
2	:invoke	:broadcast	33
2	:ok	:broadcast	33
3	:invoke	:broadcast	34
3	:ok	:broadcast	34
4	:invoke	:broadcast	35
4	:ok	:broadcast	35
0	:invoke	:read	nil
